,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,Date,윤석열,이재명,안철수,심상정,허경영,김경재,김민찬,김재연,오준호,옥은호,이경희,이백윤,조원진
110,2022-03-09-16,78801,72900,2553,29886,9664,1,0,197,117,3,1,605,18
111,2022-03-09-17,64504,54125,2053,15889,9112,0,0,63,14,2,0,333,7
112,2022-03-09-18,44900,35866,1192,10131,4563,6,1,58,14,4,0,209,6
113,2022-03-09-19,31754,31131,1318,9702,5783,0,0,24,4,0,0,115,5
114,2022-03-09-20,14796,17060,760,3817,1779,0,0,10,0,0,1,83,6
115,2022-03-09-21,16041,12914,706,3305,2384,0,0,5,0,0,1,44,6
116,2022-03-09-22,35517,22176,1322,6866,5789,2,0,14,1,2,1,98,2
117,2022-03-09-23,38427,25162,1579,8701,6315,1,0,30,7,0,1,210,6
118,2022-03-10-00,32595,21505,1420,9096,3816,0,0,39,4,0,0,468,12
119,2022-03-10-01,27566,20290,1239,6987,3389,1,0,49,4,0,0,427,3
120,2022-03-10-02,28232,21103,1305,8045,3581,0,0,29,0,2,0,343,2
121,2022-03-10-03,30534,22063,1315,15109,2992,0,1,69,7,1,1,315,3
122,2022-03-10-04,27974,20574,1415,13907,1849,0,0,30,0,1,0,280,3
123,2022-03-10-05,23034,18895,1324,8729,1385,0,0,81,9,0,0,207,1
124,2022-03-10-06,20493,18807,1240,6577,1371,5,0,111,10,0,0,146,5
125,2022-03-10-07,21229,17713,1016,5967,1394,1,0,67,0,0,0,262,2
126,2022-03-10-08,22806,18042,1052,5962,1375,1,0,78,0,0,8,291,7
127,2022-03-10-09,19874,18004,991,5101,1038,0,0,55,6,0,4,235,2
128,2022-03-10-10,20035,17361,986,4388,828,0,0,30,0,0,1,150,8
129,2022-03-10-11,19398,18571,1040,4050,713,0,0,52,6,0,0,221,8
130,2022-03-10-12,19207,18379,835,4262,707,0,0,47,1,4,4,129,1
131,2022-03-10-13,16962,22523,709,5210,665,1,0,46,1,2,1,133,2
132,2022-03-10-14,18247,19191,616,3616,559,0,0,50,2,3,0,97,1
133,2022-03-10-15,13085,14033,440,2642,503,0,0,35,2,1,2,53,7
134,2022-03-10-16,7633,7909,314,1849,261,1,0,12,1,2,0,43,3
135,2022-03-10-17,4364,4469,172,1063,153,1,0,25,1,0,0,21,2
136,2022-03-10-18,2544,2737,86,569,80,0,0,5,0,0,0,22,6
137,2022-03-10-19,1910,2522,102,348,62,0,0,4,0,3,0,12,4
138,2022-03-10-20,1853,2594,112,312,63,0,0,3,0,2,0,4,5
139,2022-03-10-21,3301,4091,175,561,88,0,0,4,0,0,0,7,3
140,2022-03-10-22,6677,6996,272,1149,171,0,0,16,1,2,1,28,9
141,2022-03-10-23,7871,9065,294,1619,200,0,0,19,1,3,0,37,9
142,2022-03-11-00,8337,9407,273,1414,164,0,0,24,1,4,1,28,3
143,2022-03-11-01,10030,10814,431,1485,191,1,0,16,0,13,1,38,3
144,2022-03-11-02,11303,11495,493,1656,170,0,0,26,1,7,1,31,4
145,2022-03-11-03,11926,11899,518,1787,137,0,0,18,0,6,0,41,3
146,2022-03-11-04,12068,11777,532,1791,159,0,0,16,0,1,0,32,1
147,2022-03-11-05,9690,11309,397,1756,106,0,0,16,1,1,0,25,2
148,2022-03-11-06,9492,12706,405,1592,253,0,0,14,0,1,0,18,4
149,2022-03-11-07,10846,15047,386,1972,801,0,0,9,0,0,0,18,0
150,2022-03-11-08,12516,15007,424,1736,1017,0,0,8,0,0,1,6,6
151,2022-03-11-09,12106,13408,324,1510,741,0,0,5,0,0,0,9,3
152,2022-03-11-10,10135,12559,409,1462,657,0,0,9,0,0,0,10,0
153,2022-03-11-11,10060,12387,388,1277,466,0,0,7,0,1,0,7,8
154,2022-03-11-12,9552,11800,426,1192,335,0,0,11,0,0,0,5,2
155,2022-03-11-13,10244,11141,487,1678,308,0,0,10,0,3,0,8,4
156,2022-03-11-14,11240,10561,486,1482,299,1,0,8,0,0,0,11,1
157,2022-03-11-15,8590,8890,298,1078,247,0,0,5,1,0,0,20,2
158,2022-03-11-16,6228,6329,178,863,192,0,0,8,1,0,0,12,1
159,2022-03-11-17,3862,4109,101,488,121,0,0,2,1,0,0,5,0
160,2022-03-11-18,2287,2728,126,337,61,0,0,2,0,0,1,2,1
161,2022-03-11-19,1599,2060,64,219,32,0,0,0,0,0,0,1,0
162,2022-03-11-20,1474,2090,45,159,31,0,0,1,0,0,0,0,0
163,2022-03-11-21,2298,2680,87,135,30,0,0,0,0,0,0,1,0
164,2022-03-11-22,3192,4051,159,251,59,0,0,1,0,0,0,0,4
165,2022-03-11-23,4764,5463,165,450,64,0,0,1,0,3,1,2,0
166,2022-03-12-00,5820,6849,259,607,119,0,0,7,0,1,0,11,5
167,2022-03-12-01,6391,7184,313,872,225,1,0,5,0,2,0,17,4
168,2022-03-12-02,7182,7599,323,1018,230,1,0,12,0,1,0,19,2
169,2022-03-12-03,6795,6687,350,1000,251,1,0,8,1,1,0,18,1
